Date,Description,Type,Category,Amount,Balance,Payee Account,Payee Sort Code,Payee Bank
23/03/2024,Shopping Payment,Debit,Shopping,-250.18,-410.53,14241743,53-15-76,Omega Savings
25/01/2024,Dining Payment,Credit,Dining,271.09,-139.44,20752159,70-77-37,Pinnacle Trust
29/04/2024,Misc Payment,Credit,Misc,457.94,318.5,23489812,10-99-83,Titan Financial
17/03/2024,Grocery Payment,Credit,Grocery,57.79,376.29,26814247,17-61-44,Pinnacle Trust
24/02/2024,Shopping Payment,Credit,Shopping,113.81,490.1,19105865,35-18-41,Titan Financial
24/01/2024,Rent Payment,Debit,Rent,-438.46,51.64,68596892,45-29-62,Aurora Bank
05/02/2024,Shopping Payment,Debit,Shopping,-419.27,-367.63,60910994,10-90-25,Nova Bank
15/04/2024,Utilities Payment,Credit,Utilities,180.59,-187.04,77284910,75-17-43,Titan Financial
23/01/2024,Salary Payment,Credit,Salary,497.18,310.14,85181601,54-87-68,Aurora Bank
20/04/2024,Grocery Payment,Debit,Grocery,-462.94,-152.8,35309258,11-16-37,Summit Bank
23/03/2024,Transfer Payment,Credit,Transfer,235.83,83.03,89633222,78-97-86,Titan Financial
17/01/2024,Grocery Payment,Debit,Grocery,-18.61,64.42,35176525,91-96-56,Pinnacle Trust
26/04/2024,Dining Payment,Debit,Dining,-293.89,-229.47,80440355,98-51-91,Aurora Bank
19/02/2024,Salary Payment,Credit,Salary,219.86,-9.61,81899329,34-74-97,Omega Savings
15/03/2024,Misc Payment,Debit,Misc,-333.09,-342.7,74203619,73-24-33,Horizon Trust
31/03/2024,Shopping Payment,Debit,Shopping,-190.15,-532.85,27822058,58-49-42,Zenith Credit
01/01/2024,Transfer Payment,Credit,Transfer,156.09,-376.76,36774518,13-79-46,Horizon Trust
04/02/2024,Dining Payment,Credit,Dining,126.57,-250.19,80856587,60-73-59,Summit Bank
21/03/2024,Insurance Payment,Debit,Insurance,-18.29,-268.48,91741986,39-99-24,Omega Savings
13/04/2024,Rent Payment,Credit,Rent,481.42,212.94,10065563,50-17-59,Summit Bank
29/02/2024,Dining Payment,Debit,Dining,-256.75,-43.81,56453800,25-70-82,Horizon Trust
22/03/2024,Utilities Payment,Debit,Utilities,-128.05,-171.86,71828288,47-30-52,Pinnacle Trust
09/02/2024,Entertainment Payment,Credit,Entertainment,29.54,-142.32,35204274,30-66-16,Beta Finance
12/01/2024,Entertainment Payment,Debit,Entertainment,-73.04,-215.36,72872771,26-68-61,Beta Finance
04/02/2024,Transfer Payment,Credit,Transfer,263.33,47.97,41868939,71-82-16,Summit Bank
10/01/2024,Misc Payment,Debit,Misc,-32.32,15.65,55102337,51-92-89,Summit Bank
23/01/2024,Entertainment Payment,Debit,Entertainment,-325.8,-310.15,21558580,12-54-57,Alpha Bank
27/03/2024,Entertainment Payment,Debit,Entertainment,-217.27,-527.42,73545094,65-32-85,Horizon Trust
15/04/2024,Misc Payment,Debit,Misc,-46.62,-574.04,39988670,54-77-55,Summit Bank
22/01/2024,Utilities Payment,Credit,Utilities,68.59,-505.45,57988539,51-18-80,Summit Bank
07/03/2024,Misc Payment,Credit,Misc,493.3,-12.15,97326848,36-75-93,Summit Bank
14/02/2024,Grocery Payment,Credit,Grocery,253.27,241.12,56115982,34-53-68,Summit Bank
30/04/2024,Entertainment Payment,Credit,Entertainment,408.54,649.66,21167464,38-76-21,Nova Bank
24/04/2024,Dining Payment,Credit,Dining,66.25,715.91,30704628,86-43-96,Aurora Bank
23/01/2024,Dining Payment,Credit,Dining,5,720.91,73482400,89-74-87,Pinnacle Trust
23/04/2024,Insurance Payment,Debit,Insurance,-353.49,367.42,71951426,80-12-14,Omega Savings
11/04/2024,Transfer Payment,Debit,Transfer,-348.49,18.93,74735672,86-41-11,Horizon Trust
15/01/2024,Misc Payment,Debit,Misc,-79.15,-60.22,24724512,45-60-29,Pinnacle Trust
15/04/2024,Shopping Payment,Credit,Shopping,353.17,292.95,45243412,58-62-92,Aurora Bank
21/02/2024,Misc Payment,Credit,Misc,260.25,553.2,90167423,14-17-86,Aurora Bank
23/02/2024,Salary Payment,Credit,Salary,91.56,644.76,37910907,12-39-76,Pinnacle Trust
01/02/2024,Rent Payment,Debit,Rent,-302.34,342.42,92803397,94-30-95,Titan Financial
07/01/2024,Insurance Payment,Credit,Insurance,235.32,577.74,94677080,83-16-53,Summit Bank
01/04/2024,Dining Payment,Debit,Dining,-119.54,458.2,67817246,79-94-73,Omega Savings
15/03/2024,Transfer Payment,Credit,Transfer,37.7,495.9,10016121,54-88-94,Alpha Bank
06/01/2024,Insurance Payment,Credit,Insurance,124.57,620.47,58185941,92-24-49,Titan Financial
09/01/2024,Shopping Payment,Debit,Shopping,-298.6,321.87,19464244,62-34-62,Nova Bank
04/02/2024,Salary Payment,Debit,Salary,-416.27,-94.4,67248431,83-81-32,Beta Finance
05/04/2024,Rent Payment,Credit,Rent,70.47,-23.93,19841756,33-89-38,Pinnacle Trust
19/02/2024,Shopping Payment,Credit,Shopping,87.9,63.97,90174611,49-69-20,Titan Financial
25/04/2024,Entertainment Payment,Credit,Entertainment,271.4,335.37,59846770,72-86-52,Titan Financial
08/02/2024,Entertainment Payment,Debit,Entertainment,-77.93,257.44,38186348,88-56-39,Horizon Trust
22/03/2024,Dining Payment,Credit,Dining,160.62,418.06,39570232,62-74-83,Aurora Bank
10/04/2024,Transfer Payment,Credit,Transfer,36.03,454.09,83550166,11-61-16,Alpha Bank
11/03/2024,Entertainment Payment,Debit,Entertainment,-199.02,255.07,10896101,39-87-44,Aurora Bank
25/01/2024,Misc Payment,Debit,Misc,-414.42,-159.35,28088541,61-14-81,Aurora Bank
